16 01 1951	7.0375004 12.4875 0.0 3.0232606
17 01 1951	5.9375 11.6875 0.0 2.9448855
18 01 1951	5.1875 13.3875 0.0 1.3504882
19 01 1951	8.587501 13.6875 0.90000004 1.9045525
20 01 1951	7.2375 12.9375 0.0 1.4314488
21 01 1951	9.6375 13.7375 0.0 1.8213996
22 01 1951	5.5375004 14.837501 0.0 1.5112271
23 01 1951	7.5375004 14.087501 0.0 1.2618654
24 01 1951	4.8375 15.1375 0.0 1.293165
25 01 1951	6.6375003 13.4875 1.1 1.3581464
26 01 1951	6.7375 11.587501 2.2 1.0635169
27 01 1951	6.6375003 11.9375 3.5999994 1.002581
28 01 1951	4.0875 10.2875 6.0 0.78727716
29 01 1951	5.8375 12.1375 3.8999999 1.1861422
30 01 1951	5.2375 10.587501 0.0 1.0356089
31 01 1951	3.3875 10.0375 0.3 1.3969532
01 02 1951	1.3375001 11.4875 0.8000001 1.3315467
02 02 1951	2.4375 11.5375 2.8999999 1.1880118
03 02 1951	1.8375001 11.6375 0.0 1.4638098
04 02 1951	5.7375 12.587501 4.3 0.88175094
05 02 1951	6.7875004 13.6875 3.4 0.879874
06 02 1951	6.3375 11.1875 2.2 0.8323964
07 02 1951	3.2875 11.2375 0.2 1.9195687
08 02 1951	5.8875003 13.1875 0.0 2.4167643
09 02 1951	3.4875 14.6875 0.0 1.5126578
10 02 1951	9.4875 15.3875 0.0 1.6687405
11 02 1951	6.0375004 16.887499 0.0 2.0134768
12 02 1951	6.4875 17.037498 0.0 1.9209307
13 02 1951	8.3375 12.7375 0.3 1.7032973
14 02 1951	5.6375003 14.2375 0.0 2.043184
15 02 1951	3.8374999 15.7375 0.0 1.8153933
16 02 1951	4.5875 12.587501 0.0 1.8018583
17 02 1951	3.9875 13.2375 0.3 1.8540848
18 02 1951	4.3875003 14.9875 0.0 1.3144478
19 02 1951	8.3375 15.337501 0.3 1.4921173
20 02 1951	5.3875003 14.7875 0.0 1.9515007
21 02 1951	8.837501 15.4375 1.2 1.3822677
22 02 1951	6.4375 13.4375 0.4 1.9404346
23 02 1951	4.7375 12.8875 0.0 1.8961645
24 02 1951	4.0875 16.0375 0.0 1.9650942
25 02 1951	8.0375 15.2375 1.7000003 1.5044264
26 02 1951	6.5375004 10.4375 3.3 1.571563
27 02 1951	6.4875 10.9375 2.5000002 1.917724
28 02 1951	5.4875 10.6875 6.2 1.4842181
01 03 1951	4.5875 10.337501 0.5 2.1785004
02 03 1951	3.6875 9.7375 0.0 1.8940295
03 03 1951	1.3375001 13.0375 0.0 2.2014472
04 03 1951	8.2875 11.9875 4.8999996 1.4098568
05 03 1951	7.4375 16.137499 0.2 2.0144796
06 03 1951	9.5375 17.137499 7.5 2.1290774
07 03 1951	8.2375 12.1375 21.8 0.61821765
08 03 1951	8.587501 13.2375 1.6000001 1.6474365
09 03 1951	6.8875003 10.3875 9.000001 1.5869217
10 03 1951	5.9875 13.5375 1.4000001 2.5761485
11 03 1951	9.5375 16.4875 3.3999999 2.0414765
12 03 1951	8.587501 17.6875 0.1 2.3962154
13 03 1951	7.8875003 18.0875 0.0 2.710458
14 03 1951	5.7375 16.4875 0.1 2.4599354
15 03 1951	4.9375 15.1375 0.8000001 1.742195
16 03 1951	11.1875 20.787498 0.0 2.7619133
17 03 1951	11.3875 20.537498 0.1 2.5184066
18 03 1951	10.3875 21.887499 0.0 3.068792
19 03 1951	12.0375 19.5875 0.0 2.8954473
20 03 1951	9.9875 15.837501 0.0 3.342957
21 03 1951	9.587501 16.1875 0.0 3.3270743
22 03 1951	4.5375004 13.3875 0.0 3.4454184
